onset	duration	nwb_table	stim_id	delay	diameter	x	y	contrast	spatial_frequency	temporal_frequency	orientation	slap2_trial_idx
1.327008000575006	0.342999995	gratings	10.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	3.92699075	0.0
2.027007999829948	0.342999995	gratings	7.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	2.7488935	0.0
2.7270080000162125	0.342999995	gratings	12.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	4.71238899	0.0
3.427008000202477	0.342999995	gratings	5.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.96349537	0.0
4.1270080003887415	0.34299999499999956	gratings	5.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.96349537	0.0
4.827008000575006	0.34299999499999956	gratings	0.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	0.0	0.0
5.527999999932945	0.34299999499999956	gratings	11.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	4.49422264	0.0
6.2270080000162125	0.34299999499999956	gratings	12.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	4.71238899	0.0
6.927008000202477	0.34299999499999956	gratings	4.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.57079637	0.0
7.6270080003887415	0.34299999499999956	gratings	11.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	4.49422264	0.0
8.327008000575006	0.34299999499999956	gratings	4.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.57079637	0.0
9.027007999829948	0.34299999499999956	gratings	6.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	2.3561945	0.0
9.727008000016212	0.34299999499999956	gratings	1.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	0.392699093	0.0
10.427008000202477	0.34299999499999956	gratings	7.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	2.7488935	0.0
11.127008000388741	0.34299999499999956	gratings	12.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	4.71238899	0.0
11.827008000575006	0.34299999499999956	gratings	0.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	0.0	0.0
12.527007999829948	0.34299999499999956	gratings	14.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	5.497787	0.0
13.227008000016212	0.34299999499999956	gratings	0.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	0.0	0.0
13.927008000202477	0.34299999499999956	gratings	7.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	2.7488935	0.0
14.627008000388741	0.34299999499999956	gratings	7.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	2.7488935	0.0
15.327008000575006	0.34299999499999956	gratings	8.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	3.14159274	0.0
16.027007999829948	0.34299999499999956	gratings	11.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	4.49422264	0.0
16.727008000016212	0.34299999499999956	gratings	13.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	5.10508823	0.0
17.427008000202477	0.34299999499999956	gratings	3.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.17809725	0.0
18.12700800038874	0.34299999499999956	gratings	1.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	0.392699093	0.0
18.827008000575006	0.34299999499999956	gratings	5.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.96349537	0.0
19.527007999829948	0.34299999499999956	gratings	5.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.96349537	0.0
20.227008000016212	0.34299999499999956	gratings	4.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.57079637	0.0
20.927008000202477	0.34299999499999956	gratings	4.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.57079637	0.0
21.62700800038874	0.34299999499999956	gratings	8.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	3.14159274	0.0
22.327008000575006	0.34299999499999956	gratings	4.0	0.342999995	360.0	0.0	0.0	1.0	0.0399999991	2.0	1.57079637	0.0
